domain,variant,metric,mean,ci_low,ci_high
hiring,baseline,accuracy,0.5470441298917569,0.5408825978351374,0.5522064945878435
hiring,baseline,balanced_accuracy,0.6259334898287238,0.6176191021669658,0.6315960965870269
hiring,baseline,roc_auc,0.6865171838179583,0.6725752020699767,0.6966041522060717
hiring,baseline,precision,0.8608185789272012,0.8506237841291112,0.8669971237796974
hiring,baseline,recall,0.458913747308043,0.45290216660350974,0.46492532801257636
hiring,baseline,utility,-0.022880932556203153,-0.03437135720233138,-0.013238967527060774
hiring,baseline,approval_rate_g0,0.6991248672648223,0.6915567730002116,0.7122181148532467
hiring,baseline,approval_rate_g1,0.07872442606340756,0.06864906315561023,0.09064029612746202
hiring,baseline,spd,-0.6204004412014148,-0.6400598880893031,-0.6032434845499239
hiring,baseline,disparate_impact,0.11276758262080944,0.09841569789321522,0.13060237140303768
hiring,baseline,tpr_gap,-0.695471945628382,-0.7136358718723611,-0.6748280581263655
hiring,baseline,fpr_gap,-0.39826881609512566,-0.4133097413120169,-0.3837472755545237
hiring,baseline,fnr_gap,0.695471945628382,0.6748280581263656,0.7136358718723611
hiring,baseline,aod,-0.5468703808617539,-0.5619220087464022,-0.5329753841704562
hiring,baseline,harm_rate,0.13918142107279877,0.13300287622030266,0.14937621587088884
hiring,baseline,escalation_rate,,,
hiring,baseline,override_rate,,,
hiring,baseline,corrected_error_rate,,,
hiring,baseline,oversight_gain,,,
hiring,ethical_no_oversight,accuracy,0.7705245628642797,0.7680266444629475,0.773022481265612
hiring,ethical_no_oversight,balanced_accuracy,0.6127129018837574,0.5891368967558211,0.6378537552880047
hiring,ethical_no_oversight,roc_auc,0.7771985789509135,0.7722575254452164,0.7821396324566108
hiring,ethical_no_oversight,precision,0.78668069828221,0.7762787509752584,0.7968886261872212
hiring,ethical_no_oversight,recall,0.9455164791407695,0.920710168990586,0.9709864762256561
hiring,ethical_no_oversight,utility,0.3840133222314738,0.3719371357202331,0.3956536219816819
hiring,ethical_no_oversight,approval_rate_g0,0.8946295405657232,0.8588037629888386,0.9296753339629543
